7812, 91.44, 70.45, 0.00, MC78M12CDTRKG, DPAK-3
7912, 75.69, 70.45, 0.00, MC79M12CDTRKG, DPAK-3
B1, 60.96, 68.58, 90.00, B10S, MBS
C1, 91.44, 42.16, 0.00, 100u, 153CLV-1010
C2, 75.69, 42.16, 0.00, 100u, 153CLV-1010
C3, 88.65, 32.51, 0.00, 0.1u, C0603
C4, 88.65, 27.43, 0.00, 0.1u, C0603
C5, 72.90, 32.51, 0.00, 0.1u, C0603
C6, 72.90, 27.43, 0.00, 0.1u, C0603
D1, 91.44, 60.96, 0.00, MBRS140, DIO_MBRS140
D2, 75.69, 60.96, 0.00, MBRS140, DIO_MBRS140
D3, 75.69, 53.09, 0.00, MBRS140, DIO_MBRS140
D4, 91.44, 53.09, 0.00, MBRS140, DIO_MBRS140
LED1, 88.65, 24.89, 270.00, GREEN, CHIP-LED0603
LED2, 72.90, 24.89, 270.00, GREEN, CHIP-LED0603
OP1, 119.38, 65.94, 0.00, AS358AMTR-E1, SOIC-8
OP2, 119.38, 58.32, 0.00, AS358AMTR-E1, SOIC-8
OP3, 119.38, 50.70, 0.00, AS358AMTR-E1, SOIC-8
OP4, 119.38, 43.08, 0.00, AS358AMTR-E1, SOIC-8
OP5, 119.38, 35.45, 0.00, AS358AMTR-E1, SOIC-8
Q1, 101.60, 66.04, 0.00, BSS84DW-7-F, SOT-363
Q10, 106.68, 50.80, 0.00, BSS84DW-7-F, SOT-363
Q11, 132.08, 50.80, 0.00, BSS84DW-7-F, SOT-363
Q12, 137.16, 50.80, 0.00, BSS84DW-7-F, SOT-363
Q13, 101.60, 43.18, 0.00, BSS84DW-7-F, SOT-363
Q14, 106.68, 43.18, 0.00, BSS84DW-7-F, SOT-363
Q15, 132.08, 43.18, 0.00, BSS84DW-7-F, SOT-363
Q16, 137.16, 43.18, 0.00, BSS84DW-7-F, SOT-363
Q17, 101.60, 35.56, 0.00, BSS84DW-7-F, SOT-363
Q18, 106.68, 35.56, 0.00, BSS84DW-7-F, SOT-363
Q19, 132.08, 35.56, 0.00, BSS84DW-7-F, SOT-363
Q2, 106.68, 66.04, 0.00, BSS84DW-7-F, SOT-363
Q20, 137.16, 35.56, 0.00, BSS84DW-7-F, SOT-363
Q3, 132.08, 66.04, 0.00, BSS84DW-7-F, SOT-363
Q4, 137.16, 66.04, 0.00, BSS84DW-7-F, SOT-363
Q5, 101.60, 58.42, 0.00, BSS84DW-7-F, SOT-363
Q6, 106.68, 58.42, 0.00, BSS84DW-7-F, SOT-363
Q7, 132.08, 58.42, 0.00, BSS84DW-7-F, SOT-363
Q8, 137.16, 58.42, 0.00, BSS84DW-7-F, SOT-363
Q9, 101.60, 50.80, 0.00, BSS84DW-7-F, SOT-363
R1, 111.76, 66.04, 90.00, 1K, R1206
R10, 127.00, 35.56, 90.00, 1K, R1206
R11, 119.38, 27.94, 180.00, 1K, R1206
R12, 93.73, 29.97, 270.00, 750, R1206
R13, 77.98, 29.97, 270.00, 750, R1206
R2, 127.00, 66.04, 90.00, 1K, R1206
R3, 111.76, 58.42, 90.00, 1K, R1206
R4, 127.00, 58.42, 90.00, 1K, R1206
R5, 111.76, 50.80, 90.00, 1K, R1206
R6, 127.00, 50.80, 90.00, 1K, R1206
R7, 111.76, 43.18, 90.00, 1K, R1206
R8, 127.00, 43.18, 90.00, 1K, R1206
R9, 111.76, 35.56, 90.00, 1K, R1206
